time,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.524000,-0.080213,0.038799,-0.080213,0.038799
0.526000,-0.079915,0.038941,-0.079915,0.038941
0.528000,-0.079618,0.039084,-0.079618,0.039084
0.530000,-0.079321,0.039227,-0.079321,0.039227
0.532000,-0.079025,0.039369,-0.079025,0.039369
0.534000,-0.078729,0.039511,-0.078729,0.039511
0.536000,-0.078434,0.039654,-0.078434,0.039654
0.538000,-0.078140,0.039796,-0.078140,0.039796
0.540000,-0.077846,0.039938,-0.077846,0.039938
0.542000,-0.077553,0.040081,-0.077553,0.040081
0.544000,-0.077261,0.040223,-0.077261,0.040223
0.546000,-0.076969,0.040365,-0.076969,0.040365
0.548000,-0.076677,0.040507,-0.076677,0.040507
0.550000,-0.076386,0.040649,-0.076386,0.040649
0.552000,-0.076096,0.040790,-0.076096,0.040790
0.554000,-0.075807,0.040932,-0.075807,0.040932
0.556000,-0.075518,0.041074,-0.075518,0.041074
0.558000,-0.075229,0.041216,-0.075229,0.041216
0.560000,-0.074942,0.041357,-0.074942,0.041357
0.562000,-0.074654,0.041499,-0.074654,0.041499
0.564000,-0.074368,0.041640,-0.074368,0.041640
0.566000,-0.074082,0.041782,-0.074082,0.041782
0.568000,-0.073797,0.041923,-0.073797,0.041923
0.570000,-0.073512,0.042064,-0.073512,0.042064
0.572000,-0.073228,0.042205,-0.073228,0.042205
0.574000,-0.072945,0.042346,-0.072945,0.042346
0.576000,-0.072662,0.042488,-0.072662,0.042488
0.578000,-0.072380,0.042628,-0.072380,0.042628
0.580000,-0.072098,0.042769,-0.072098,0.042769
0.582000,-0.071817,0.042910,-0.071817,0.042910
0.584000,-0.071537,0.043051,-0.071537,0.043051
0.586000,-0.071257,0.043192,-0.071257,0.043192
0.588000,-0.070978,0.043332,-0.070978,0.043332
0.590000,-0.070700,0.043473,-0.070700,0.043473
0.592000,-0.070422,0.043614,-0.070422,0.043614
0.594000,-0.070145,0.043754,-0.070145,0.043754
0.596000,-0.069869,0.043894,-0.069869,0.043894
0.598000,-0.069593,0.044035,-0.069593,0.044035
0.600000,-0.069318,0.044175,-0.069318,0.044175
0.602000,-0.069043,0.044315,-0.069043,0.044315
0.604000,-0.068770,0.044455,-0.068770,0.044455
0.606000,-0.068496,0.044595,-0.068496,0.044595
0.608000,-0.068224,0.044735,-0.068224,0.044735
0.610000,-0.067952,0.044875,-0.067952,0.044875
0.612000,-0.067681,0.045015,-0.067681,0.045015
0.614000,-0.067410,0.045155,-0.067410,0.045155
0.616000,-0.067140,0.045294,-0.067140,0.045294
0.618000,-0.066871,0.045434,-0.066871,0.045434
0.620000,-0.066603,0.045573,-0.066603,0.045573
0.622000,-0.066335,0.045713,-0.066335,0.045713
0.624000,-0.066067,0.045852,-0.066067,0.045852
0.626000,-0.065801,0.045992,-0.065801,0.045992
0.628000,-0.065535,0.046131,-0.065535,0.046131
0.630000,-0.065270,0.046270,-0.065270,0.046270
0.632000,-0.065005,0.046409,-0.065005,0.046409
0.634000,-0.064741,0.046548,-0.064741,0.046548
0.636000,-0.064478,0.046687,-0.064478,0.046687
0.638000,-0.064215,0.046826,-0.064215,0.046826
0.640000,-0.063954,0.046965,-0.063954,0.046965
0.642000,-0.063692,0.047104,-0.063692,0.047104
0.644000,-0.063432,0.047242,-0.063432,0.047242
0.646000,-0.063172,0.047381,-0.063172,0.047381
0.648000,-0.062913,0.047519,-0.062913,0.047519
0.650000,-0.062655,0.047658,-0.062655,0.047658
0.652000,-0.062397,0.047796,-0.062397,0.047796
0.654000,-0.062140,0.047934,-0.062140,0.047934
0.656000,-0.061884,0.048073,-0.061884,0.048073
0.658000,-0.061628,0.048211,-0.061628,0.048211
0.660000,-0.061373,0.048349,-0.061373,0.048349
0.662000,-0.061119,0.048487,-0.061119,0.048487
0.664000,-0.060865,0.048625,-0.060865,0.048625
0.666000,-0.060612,0.048762,-0.060612,0.048762
0.668000,-0.060360,0.048900,-0.060360,0.048900
0.670000,-0.060109,0.049038,-0.060109,0.049038
0.672000,-0.059858,0.049175,-0.059858,0.049175
0.674000,-0.059608,0.049313,-0.059608,0.049313
0.676000,-0.059359,0.049450,-0.059359,0.049450
0.678000,-0.059110,0.049588,-0.059110,0.049588
0.680000,-0.058862,0.049725,-0.058862,0.049725
0.682000,-0.058615,0.049862,-0.058615,0.049862
0.684000,-0.058369,0.049999,-0.058369,0.049999
0.686000,-0.058123,0.050136,-0.058123,0.050136
0.688000,-0.057878,0.050273,-0.057878,0.050273
0.690000,-0.057634,0.050410,-0.057634,0.050410
0.692000,-0.057390,0.050547,-0.057390,0.050547
0.694000,-0.057147,0.050684,-0.057147,0.050684
0.696000,-0.056905,0.050820,-0.056905,0.050820
0.698000,-0.056664,0.050957,-0.056664,0.050957
0.700000,-0.056423,0.051094,-0.056423,0.051094
0.702000,-0.056183,0.051230,-0.056183,0.051230
0.704000,-0.055944,0.051366,-0.055944,0.051366
0.706000,-0.055705,0.051502,-0.055705,0.051502
0.708000,-0.055468,0.051639,-0.055468,0.051639
0.710000,-0.055231,0.051775,-0.055231,0.051775
0.712000,-0.054994,0.051911,-0.054994,0.051911
0.714000,-0.054759,0.052047,-0.054759,0.052047
0.716000,-0.054524,0.052182,-0.054524,0.052182
0.718000,-0.054290,0.052318,-0.054290,0.052318
0.720000,-0.054057,0.052454,-0.054057,0.052454
0.722000,-0.053824,0.052589,-0.053824,0.052589
0.724000,-0.053592,0.052725,-0.053592,0.052725
0.726000,-0.053361,0.052860,-0.053361,0.052860
0.728000,-0.053131,0.052996,-0.053131,0.052996
0.730000,-0.052901,0.053131,-0.052901,0.053131
0.732000,-0.052673,0.053266,-0.052673,0.053266
0.734000,-0.052445,0.053401,-0.052445,0.053401
0.736000,-0.052217,0.053536,-0.052217,0.053536
0.738000,-0.051991,0.053671,-0.051991,0.053671
0.740000,-0.051765,0.053806,-0.051765,0.053806
0.742000,-0.051540,0.053941,-0.051540,0.053941
0.744000,-0.051316,0.054075,-0.051316,0.054075
0.746000,-0.051092,0.054210,-0.051092,0.054210
0.748000,-0.050869,0.054344,-0.050869,0.054344
0.750000,-0.050647,0.054479,-0.050647,0.054479
0.752000,-0.050426,0.054613,-0.050426,0.054613
0.754000,-0.050206,0.054747,-0.050206,0.054747
0.756000,-0.049986,0.054882,-0.049986,0.054882
0.758000,-0.049767,0.055016,-0.049767,0.055016
0.760000,-0.049549,0.055150,-0.049549,0.055150
0.762000,-0.049332,0.055283,-0.049332,0.055283
0.764000,-0.049115,0.055417,-0.049115,0.055417
0.766000,-0.048899,0.055551,-0.048899,0.055551
0.768000,-0.048684,0.055685,-0.048684,0.055685
0.770000,-0.048470,0.055818,-0.048470,0.055818
0.772000,-0.048257,0.055952,-0.048257,0.055952
0.774000,-0.048044,0.056085,-0.048044,0.056085
0.776000,-0.047832,0.056218,-0.047832,0.056218
0.778000,-0.047621,0.056351,-0.047621,0.056351
0.780000,-0.047411,0.056484,-0.047411,0.056484
0.782000,-0.047201,0.056617,-0.047201,0.056617
0.784000,-0.046992,0.056750,-0.046992,0.056750
0.786000,-0.046784,0.056883,-0.046784,0.056883
0.788000,-0.046577,0.057016,-0.046577,0.057016
0.790000,-0.046371,0.057149,-0.046371,0.057149
0.792000,-0.046165,0.057281,-0.046165,0.057281
0.794000,-0.045960,0.057414,-0.045960,0.057414
0.796000,-0.045756,0.057546,-0.045756,0.057546
0.798000,-0.045553,0.057678,-0.045553,0.057678
0.800000,-0.045351,0.057810,-0.045351,0.057810
0.802000,-0.045149,0.057943,-0.045149,0.057943
0.804000,-0.044948,0.058075,-0.044948,0.058075
0.806000,-0.044748,0.058206,-0.044748,0.058206
0.808000,-0.044549,0.058338,-0.044549,0.058338
0.810000,-0.044351,0.058470,-0.044351,0.058470
0.812000,-0.044153,0.058602,-0.044153,0.058602
0.814000,-0.043956,0.058733,-0.043956,0.058733
0.816000,-0.043761,0.058865,-0.043761,0.058865
0.818000,-0.043565,0.058996,-0.043565,0.058996
0.820000,-0.043371,0.059127,-0.043371,0.059127
0.822000,-0.043177,0.059258,-0.043177,0.059258
0.824000,-0.042985,0.059390,-0.042985,0.059390
0.826000,-0.042793,0.059521,-0.042793,0.059521
0.828000,-0.042602,0.059651,-0.042602,0.059651
0.830000,-0.042411,0.059782,-0.042411,0.059782
0.832000,-0.042222,0.059913,-0.042222,0.059913
0.834000,-0.042033,0.060044,-0.042033,0.060044
0.836000,-0.041846,0.060174,-0.041846,0.060174
0.838000,-0.041659,0.060304,-0.041659,0.060304
0.840000,-0.041472,0.060435,-0.041472,0.060435
0.842000,-0.041287,0.060565,-0.041287,0.060565
0.844000,-0.041103,0.060695,-0.041103,0.060695
0.846000,-0.040919,0.060825,-0.040919,0.060825
0.848000,-0.040736,0.060955,-0.040736,0.060955
0.850000,-0.040554,0.061085,-0.040554,0.061085
0.852000,-0.040373,0.061215,-0.040373,0.061215
0.854000,-0.040192,0.061344,-0.040192,0.061344
0.856000,-0.040013,0.061474,-0.040013,0.061474
0.858000,-0.039834,0.061603,-0.039834,0.061603
0.860000,-0.039656,0.061733,-0.039656,0.061733
0.862000,-0.039479,0.061862,-0.039479,0.061862
0.864000,-0.039303,0.061991,-0.039303,0.061991
0.866000,-0.039128,0.062120,-0.039128,0.062120
0.868000,-0.038953,0.062249,-0.038953,0.062249
0.870000,-0.038780,0.062378,-0.038780,0.062378
0.872000,-0.038607,0.062507,-0.038607,0.062507
0.874000,-0.038435,0.062636,-0.038435,0.062636
0.876000,-0.038264,0.062764,-0.038264,0.062764
0.878000,-0.038093,0.062893,-0.038093,0.062893
0.880000,-0.037924,0.063021,-0.037924,0.063021
0.882000,-0.037755,0.063149,-0.037755,0.063149
0.884000,-0.037587,0.063277,-0.037587,0.063277
0.886000,-0.037420,0.063405,-0.037420,0.063405
0.888000,-0.037254,0.063533,-0.037254,0.063533
0.890000,-0.037089,0.063661,-0.037089,0.063661
0.892000,-0.036925,0.063789,-0.036925,0.063789
0.894000,-0.036761,0.063917,-0.036761,0.063917
0.896000,-0.036599,0.064044,-0.036599,0.064044
0.898000,-0.036437,0.064172,-0.036437,0.064172
0.900000,-0.036276,0.064299,-0.036276,0.064299
0.902000,-0.036116,0.064426,-0.036116,0.064426
0.904000,-0.035957,0.064554,-0.035957,0.064554
0.906000,-0.035798,0.064681,-0.035798,0.064681
0.908000,-0.035641,0.064808,-0.035641,0.064808
0.910000,-0.035484,0.064935,-0.035484,0.064935
0.912000,-0.035328,0.065061,-0.035328,0.065061
0.914000,-0.035173,0.065188,-0.035173,0.065188
0.916000,-0.035019,0.065315,-0.035019,0.065315
0.918000,-0.034866,0.065441,-0.034866,0.065441
0.920000,-0.034714,0.065567,-0.034714,0.065567
0.922000,-0.034562,0.065694,-0.034562,0.065694
0.924000,-0.034412,0.065820,-0.034412,0.065820
0.926000,-0.034262,0.065946,-0.034262,0.065946
0.928000,-0.034113,0.066072,-0.034113,0.066072
0.930000,-0.033965,0.066198,-0.033965,0.066198
0.932000,-0.033818,0.066323,-0.033818,0.066323
0.934000,-0.033672,0.066449,-0.033672,0.066449
0.936000,-0.033527,0.066574,-0.033527,0.066574
0.938000,-0.033382,0.066700,-0.033382,0.066700
0.940000,-0.033238,0.066825,-0.033238,0.066825
0.942000,-0.033096,0.066950,-0.033096,0.066950
0.944000,-0.032954,0.067075,-0.032954,0.067075
0.946000,-0.032813,0.067200,-0.032813,0.067200
0.948000,-0.032673,0.067325,-0.032673,0.067325
0.950000,-0.032534,0.067450,-0.032534,0.067450
0.952000,-0.032395,0.067575,-0.032395,0.067575
0.954000,-0.032258,0.067699,-0.032258,0.067699
0.956000,-0.032121,0.067824,-0.032121,0.067824
0.958000,-0.031985,0.067948,-0.031985,0.067948
0.960000,-0.031851,0.068072,-0.031851,0.068072
0.962000,-0.031717,0.068196,-0.031717,0.068196
0.964000,-0.031584,0.068320,-0.031584,0.068320
0.966000,-0.031452,0.068444,-0.031452,0.068444
0.968000,-0.031320,0.068568,-0.031320,0.068568
0.970000,-0.031190,0.068692,-0.031190,0.068692
0.972000,-0.031060,0.068815,-0.031060,0.068815
0.974000,-0.030932,0.068939,-0.030932,0.068939
0.976000,-0.030804,0.069062,-0.030804,0.069062
0.978000,-0.030677,0.069186,-0.030677,0.069186
0.980000,-0.030551,0.069309,-0.030551,0.069309
0.982000,-0.030426,0.069432,-0.030426,0.069432
0.984000,-0.030302,0.069555,-0.030302,0.069555
0.986000,-0.030179,0.069678,-0.030179,0.069678
0.988000,-0.030057,0.069800,-0.030057,0.069800
0.990000,-0.029935,0.069923,-0.029935,0.069923
0.992000,-0.029815,0.070045,-0.029815,0.070045
0.994000,-0.029695,0.070168,-0.029695,0.070168
0.996000,-0.029576,0.070290,-0.029576,0.070290
0.998000,-0.029458,0.070412,-0.029458,0.070412
1.000000,-0.029342,0.070534,-0.029342,0.070534
1.002000,-0.029225,0.070656,-0.029225,0.070656
1.004000,-0.029110,0.070778,-0.029110,0.070778
1.006000,-0.028996,0.070900,-0.028996,0.070900
1.008000,-0.028883,0.071021,-0.028883,0.071021
1.010000,-0.028770,0.071143,-0.028770,0.071143
1.012000,-0.028659,0.071264,-0.028659,0.071264
1.014000,-0.028548,0.071385,-0.028548,0.071385
1.016000,-0.028438,0.071507,-0.028438,0.071507
