time,l_arm_shoulder_pitch_joint,l_arm_shoulder_roll_joint,l_arm_shoulder_yaw_joint,l_arm_elbow_joint,r_arm_shoulder_pitch_joint,r_arm_shoulder_roll_joint,r_arm_shoulder_yaw_joint,r_arm_elbow_joint
2.982000,0.019781,0.181832,0.000000,0.205654,0.000000,-0.261800,0.000000,0.000000
2.984000,0.017586,0.181825,0.000000,0.205026,0.000000,-0.261800,0.000000,0.000000
2.986000,0.015389,0.181819,0.000000,0.204398,0.000000,-0.261800,0.000000,0.000000
2.988000,0.013192,0.181814,0.000000,0.203770,0.000000,-0.261800,0.000000,0.000000
2.990000,0.010994,0.181810,0.000000,0.203141,0.000000,-0.261800,0.000000,0.000000
2.992000,0.008796,0.181806,0.000000,0.202513,0.000000,-0.261800,0.000000,0.000000
2.994000,0.006597,0.181804,0.000000,0.201885,0.000000,-0.261800,0.000000,0.000000
2.996000,0.004398,0.181802,0.000000,0.201257,0.000000,-0.261800,0.000000,0.000000
2.998000,0.002199,0.181800,0.000000,0.200628,0.000000,-0.261800,0.000000,0.000000
3.000000,0.000000,0.181800,0.000000,0.200000,0.000000,-0.261800,0.000000,0.000000
3.002000,-0.002199,0.181800,0.000000,0.199372,0.000000,-0.261800,0.000000,0.000000
3.004000,-0.004398,0.181802,0.000000,0.198743,0.000000,-0.261800,0.000000,0.000000
3.006000,-0.006597,0.181804,0.000000,0.198115,0.000000,-0.261800,0.000000,0.000000
3.008000,-0.008796,0.181806,0.000000,0.197487,0.000000,-0.261800,0.000000,0.000000
3.010000,-0.010994,0.181810,0.000000,0.196859,0.000000,-0.261800,0.000000,0.000000
3.012000,-0.013192,0.181814,0.000000,0.196230,0.000000,-0.261800,0.000000,0.000000
3.014000,-0.015389,0.181819,0.000000,0.195602,0.000000,-0.261800,0.000000,0.000000
3.016000,-0.017586,0.181825,0.000000,0.194974,0.000000,-0.261800,0.000000,0.000000
3.018000,-0.019781,0.181832,0.000000,0.194346,0.000000,-0.261800,0.000000,0.000000
3.020000,-0.021977,0.181839,0.000000,0.193718,0.000000,-0.261800,0.000000,0.000000
3.022000,-0.024171,0.181848,0.000000,0.193090,0.000000,-0.261800,0.000000,0.000000
3.024000,-0.026364,0.181857,0.000000,0.192462,0.000000,-0.261800,0.000000,0.000000
3.026000,-0.028557,0.181867,0.000000,0.191834,0.000000,-0.261800,0.000000,0.000000
3.028000,-0.030748,0.181877,0.000000,0.191206,0.000000,-0.261800,0.000000,0.000000
3.030000,-0.032938,0.181889,0.000000,0.190579,0.000000,-0.261800,0.000000,0.000000
3.032000,-0.035127,0.181901,0.000000,0.189951,0.000000,-0.261800,0.000000,0.000000
3.034000,-0.037314,0.181914,0.000000,0.189324,0.000000,-0.261800,0.000000,0.000000
3.036000,-0.039500,0.181928,0.000000,0.188696,0.000000,-0.261800,0.000000,0.000000
3.038000,-0.041684,0.181942,0.000000,0.188069,0.000000,-0.261800,0.000000,0.000000
3.040000,-0.043867,0.181958,0.000000,0.187442,0.000000,-0.261800,0.000000,0.000000
3.042000,-0.046048,0.181974,0.000000,0.186815,0.000000,-0.261800,0.000000,0.000000
3.044000,-0.048227,0.181991,0.000000,0.186188,0.000000,-0.261800,0.000000,0.000000
3.046000,-0.050404,0.182009,0.000000,0.185561,0.000000,-0.261800,0.000000,0.000000
