time,waist_roll_joint,waist_pitch_joint
0.870000,0.090725,0.155009
0.872000,0.090913,0.155210
0.874000,0.091100,0.155410
0.876000,0.091287,0.155609
0.878000,0.091474,0.155808
0.880000,0.091660,0.156005
0.882000,0.091847,0.156201
0.884000,0.092033,0.156396
0.886000,0.092220,0.156590
0.888000,0.092406,0.156784
0.890000,0.092592,0.156976
0.892000,0.092778,0.157167
0.894000,0.092963,0.157357
0.896000,0.093149,0.157547
0.898000,0.093334,0.157735
0.900000,0.093519,0.157922
0.902000,0.093705,0.158108
0.904000,0.093889,0.158294
0.906000,0.094074,0.158478
0.908000,0.094259,0.158661
0.910000,0.094443,0.158843
0.912000,0.094628,0.159025
0.914000,0.094812,0.159205
0.916000,0.094996,0.159384
0.918000,0.095180,0.159562
0.920000,0.095364,0.159740
0.922000,0.095547,0.159916
0.924000,0.095731,0.160091
0.926000,0.095914,0.160265
0.928000,0.096097,0.160439
0.930000,0.096280,0.160611
0.932000,0.096463,0.160782
0.934000,0.096646,0.160952
0.936000,0.096828,0.161121
0.938000,0.097011,0.161289
0.940000,0.097193,0.161456
0.942000,0.097375,0.161623
0.944000,0.097557,0.161788
0.946000,0.097739,0.161952
0.948000,0.097921,0.162115
0.950000,0.098102,0.162277
0.952000,0.098283,0.162438
0.954000,0.098465,0.162598
0.956000,0.098646,0.162756
0.958000,0.098826,0.162914
0.960000,0.099007,0.163071
0.962000,0.099188,0.163227
0.964000,0.099368,0.163382
0.966000,0.099548,0.163536
0.968000,0.099728,0.163688
0.970000,0.099908,0.163840
0.972000,0.100088,0.163991
0.974000,0.100268,0.164140
0.976000,0.100447,0.164289
0.978000,0.100626,0.164436
0.980000,0.100805,0.164583
0.982000,0.100984,0.164728
0.984000,0.101163,0.164873
0.986000,0.101342,0.165016
0.988000,0.101520,0.165159
0.990000,0.101699,0.165300
0.992000,0.101877,0.165440
0.994000,0.102055,0.165579
0.996000,0.102233,0.165717
0.998000,0.102410,0.165855
1.000000,0.102588,0.165991
1.002000,0.102765,0.166126
1.004000,0.102942,0.166260
1.006000,0.103119,0.166393
1.008000,0.103296,0.166524
1.010000,0.103473,0.166655
1.012000,0.103650,0.166785
1.014000,0.103826,0.166914
1.016000,0.104002,0.167041
1.018000,0.104178,0.167168
1.020000,0.104354,0.167294
1.022000,0.104530,0.167418
1.024000,0.104705,0.167542
1.026000,0.104881,0.167664
1.028000,0.105056,0.167785
1.030000,0.105231,0.167906
1.032000,0.105406,0.168025
1.034000,0.105581,0.168143
1.036000,0.105755,0.168260
1.038000,0.105930,0.168376
1.040000,0.106104,0.168491
1.042000,0.106278,0.168605
1.044000,0.106452,0.168718
1.046000,0.106626,0.168829
1.048000,0.106799,0.168940
1.050000,0.106972,0.169050
1.052000,0.107146,0.169158
1.054000,0.107319,0.169266
1.056000,0.107492,0.169372
1.058000,0.107664,0.169477
1.060000,0.107837,0.169582
1.062000,0.108009,0.169685
1.064000,0.108181,0.169787
1.066000,0.108353,0.169888
1.068000,0.108525,0.169988
1.070000,0.108697,0.170087
1.072000,0.108868,0.170185
1.074000,0.109040,0.170282
1.076000,0.109211,0.170377
1.078000,0.109382,0.170472
1.080000,0.109553,0.170565
1.082000,0.109723,0.170658
1.084000,0.109894,0.170749
1.086000,0.110064,0.170840
1.088000,0.110234,0.170929
1.090000,0.110404,0.171017
1.092000,0.110574,0.171104
1.094000,0.110744,0.171190
1.096000,0.110913,0.171275
1.098000,0.111082,0.171359
1.100000,0.111251,0.171441
1.102000,0.111420,0.171523
1.104000,0.111589,0.171604
1.106000,0.111758,0.171683
1.108000,0.111926,0.171762
1.110000,0.112094,0.171839
1.112000,0.112262,0.171915
1.114000,0.112430,0.171990
1.116000,0.112598,0.172064
1.118000,0.112765,0.172137
1.120000,0.112933,0.172209
1.122000,0.113100,0.172280
1.124000,0.113267,0.172350
1.126000,0.113433,0.172418
1.128000,0.113600,0.172486
1.130000,0.113766,0.172552
1.132000,0.113933,0.172618
1.134000,0.114099,0.172682
1.136000,0.114265,0.172745
1.138000,0.114430,0.172807
1.140000,0.114596,0.172868
1.142000,0.114761,0.172928
1.144000,0.114926,0.172987
1.146000,0.115091,0.173045
1.148000,0.115256,0.173101
1.150000,0.115421,0.173157
1.152000,0.115585,0.173211
1.154000,0.115749,0.173264
1.156000,0.115913,0.173317
1.158000,0.116077,0.173368
1.160000,0.116241,0.173418
1.162000,0.116405,0.173467
1.164000,0.116568,0.173515
1.166000,0.116731,0.173561
1.168000,0.116894,0.173607
1.170000,0.117057,0.173652
1.172000,0.117219,0.173695
1.174000,0.117382,0.173738
1.176000,0.117544,0.173779
1.178000,0.117706,0.173819
1.180000,0.117868,0.173858
1.182000,0.118029,0.173896
1.184000,0.118191,0.173933
1.186000,0.118352,0.173969
1.188000,0.118513,0.174003
1.190000,0.118674,0.174037
1.192000,0.118835,0.174070
1.194000,0.118996,0.174101
1.196000,0.119156,0.174131
1.198000,0.119316,0.174160
1.200000,0.119476,0.174189
1.202000,0.119636,0.174216
1.204000,0.119795,0.174241
1.206000,0.119955,0.174266
1.208000,0.120114,0.174290
1.210000,0.120273,0.174312
1.212000,0.120432,0.174334
1.214000,0.120591,0.174354
1.216000,0.120749,0.174374
1.218000,0.120907,0.174392
1.220000,0.121065,0.174409
1.222000,0.121223,0.174425
1.224000,0.121381,0.174440
1.226000,0.121538,0.174454
1.228000,0.121696,0.174466
1.230000,0.121853,0.174478
1.232000,0.122010,0.174488
1.234000,0.122167,0.174498
1.236000,0.122323,0.174506
1.238000,0.122479,0.174513
1.240000,0.122636,0.174519
1.242000,0.122792,0.174524
1.244000,0.122947,0.174528
1.246000,0.123103,0.174531
1.248000,0.123258,0.174532
1.250000,0.123413,0.174533
1.252000,0.123568,0.174532
1.254000,0.123723,0.174531
1.256000,0.123878,0.174528
1.258000,0.124032,0.174524
1.260000,0.124186,0.174519
1.262000,0.124340,0.174513
1.264000,0.124494,0.174506
1.266000,0.124648,0.174498
1.268000,0.124801,0.174488
1.270000,0.124954,0.174478
1.272000,0.125108,0.174466
1.274000,0.125260,0.174454
1.276000,0.125413,0.174440
1.278000,0.125565,0.174425
1.280000,0.125718,0.174409
1.282000,0.125870,0.174392
1.284000,0.126022,0.174374
1.286000,0.126173,0.174354
1.288000,0.126325,0.174334
1.290000,0.126476,0.174312
1.292000,0.126627,0.174290
1.294000,0.126778,0.174266
1.296000,0.126928,0.174241
1.298000,0.127079,0.174216
1.300000,0.127229,0.174189
1.302000,0.127379,0.174160
1.304000,0.127529,0.174131
1.306000,0.127679,0.174101
1.308000,0.127828,0.174070
1.310000,0.127977,0.174037
1.312000,0.128126,0.174003
1.314000,0.128275,0.173969
1.316000,0.128424,0.173933
1.318000,0.128572,0.173896
1.320000,0.128720,0.173858
1.322000,0.128868,0.173819
1.324000,0.129016,0.173779
1.326000,0.129164,0.173738
1.328000,0.129311,0.173695
1.330000,0.129458,0.173652
1.332000,0.129605,0.173607
1.334000,0.129752,0.173561
1.336000,0.129899,0.173515
1.338000,0.130045,0.173467
1.340000,0.130191,0.173418
1.342000,0.130337,0.173368
1.344000,0.130483,0.173317
1.346000,0.130629,0.173264
1.348000,0.130774,0.173211
1.350000,0.130919,0.173157
1.352000,0.131064,0.173101
1.354000,0.131209,0.173045
1.356000,0.131353,0.172987
1.358000,0.131498,0.172928
1.360000,0.131642,0.172868
1.362000,0.131786,0.172807
1.364000,0.131929,0.172745
1.366000,0.132073,0.172682
1.368000,0.132216,0.172618
1.370000,0.132359,0.172552
1.372000,0.132502,0.172486
1.374000,0.132645,0.172418
1.376000,0.132787,0.172350
1.378000,0.132929,0.172280
1.380000,0.133071,0.172209
1.382000,0.133213,0.172137
1.384000,0.133355,0.172064
1.386000,0.133496,0.171990
1.388000,0.133637,0.171915
1.390000,0.133778,0.171839
1.392000,0.133919,0.171762
1.394000,0.134060,0.171683
1.396000,0.134200,0.171604
1.398000,0.134340,0.171523
1.400000,0.134480,0.171441
1.402000,0.134620,0.171359
1.404000,0.134759,0.171275
1.406000,0.134898,0.171190
1.408000,0.135037,0.171104
1.410000,0.135176,0.171017
1.412000,0.135315,0.170929
1.414000,0.135453,0.170840
1.416000,0.135592,0.170749
1.418000,0.135730,0.170658
1.420000,0.135867,0.170565
1.422000,0.136005,0.170472
1.424000,0.136142,0.170377
1.426000,0.136279,0.170282
1.428000,0.136416,0.170185
1.430000,0.136553,0.170087
1.432000,0.136689,0.169988
1.434000,0.136826,0.169888
1.436000,0.136962,0.169787
1.438000,0.137098,0.169685
1.440000,0.137233,0.169582
1.442000,0.137369,0.169477
1.444000,0.137504,0.169372
1.446000,0.137639,0.169266
1.448000,0.137774,0.169158
1.450000,0.137908,0.169050
1.452000,0.138042,0.168940
